WormBaseVersion_checked,Categories,Gene Set name,number_genes,Refs,Data From,Selection_criteria,decided_by,Rawdata,Comment,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt247 vs empty vector on Bt407 12h,334,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt247 vs empty vector on Bt407 6h,354,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt247i vs empty vector on Bt247 12h,162,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt247i vs empty vector on Bt247 6h,109,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt679 vs Bt407 12h,216,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt679 vs Bt407 6h,63,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt407 12h,493,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt407 6h,390,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt679 12h,336,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt679 6h,133,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Mutants,Down by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 12h,286,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,TF Target,Down by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 12h,286,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Mutants,Down by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 6h,222,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,TF Target,Down by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 6h,222,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 12h,113,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 24h,46,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 2h,13,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 6h,120,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange <= -2,JN,GSE111797,,
WS283,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt407 vs OP50 6h,1,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 12h,310,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 24h,160,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 2h,21,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Down in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 6h,281,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt247 vs Bt407 12h,4,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt247 vs Bt407 6h,10,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt247 vs empty vector on Bt407 12h,326,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt247 vs empty vector on Bt407 6h,454,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt247i vs empty vector on Bt247 12h,171,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt247i vs empty vector on Bt247 6h,203,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt679 vs Bt407 12h,114,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt679 vs Bt407 6h,40,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt407 12h,370,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt407 6h,388,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt679 12h,280,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up by elt-2(RNAi) on B. thuringiensis Bt679 vs empty vector on Bt679 6h,100,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Mutants,Up by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 12h,258,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,TF Target,Up by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 12h,258,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Mutants,Up by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 6h,266,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,TF Target,Up by elt-2(RNAi) on non-pathogenic B. thuringiensis Bt407 vs empty vector on Bt407 6h,266,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S4,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 12h,265,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 24h,353,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 2h,85,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt247 vs Bt407 6h,234,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt407 vs OP50 12h,4,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt407 vs OP50 6h,1,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 12h,343,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 24h,503,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 2h,115,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS235,Microbes,Up in N2 on non-pathogenic B. thuringiensis Bt679 vs Bt407 6h,301,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008826,Table S1,q < 0.05; foldchange >= 2,JN,GSE111797,,
WS283,Mutants,Down in alg-1(gk214) day 5 adult,116,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange <= -2,JN,GSE112753,,
WS283,Development/Dauer/Aging,Down in alg-1(gk214) day 5 adult,116,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange <= -2,JN,GSE112753,,
WS283,Mutants,Down in alg-2(ok304) day 5 adult,5,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange <= -2,JN,GSE112753,,
WS283,Development/Dauer/Aging,Down in alg-2(ok304) day 5 adult,5,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange <= -2,JN,GSE112753,,
WS283,Mutants,Up in alg-1(gk214) day 5 adult,929,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange >= 2,JN,GSE112753,,
WS283,Development/Dauer/Aging,Up in alg-1(gk214) day 5 adult,929,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange >= 2,JN,GSE112753,,
WS283,Mutants,Up in alg-2(ok304) day 5 adult,2,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange <= -2,JN,GSE112753,,
WS283,Development/Dauer/Aging,Up in alg-2(ok304) day 5 adult,2,https://pubmed.ncbi.nlm.nih.gov/29927939/,S3 Table,padj<0.05; foldchange <= -2,JN,GSE112753,,
n.a.,Chemicals/stress,Up after BPA treatment,66,https://pubmed.ncbi.nlm.nih.gov/29791850/,Supplementary file 2,p<0.05; foldchange >=2,JN,GSE113266,,
WS210,DAF/Insulin/food,Down control fed vs control starved,159,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange <= -2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Down control fed vs control starved,159,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange <= -2,JN,GSE113500,,
WS210,DAF/Insulin/food,Down long term dauer fed vs long term dauer starved,143,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange <= -2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Down long term dauer fed vs long term dauer starved,143,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange <= -2,JN,GSE113500,,
WS210,DAF/Insulin/food,Down short term dauer fed vs short term dauer starved,140,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange <= -2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Down short term dauer fed vs short term dauer starved,140,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange <= -2,JN,GSE113500,,
WS210,DAF/Insulin/food,Up control fed vs control starved,160,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Up control fed vs control starved,160,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,DAF/Insulin/food,Up control fed vs long term dauer fed,4,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Up control fed vs long term dauer fed,4,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,DAF/Insulin/food,Up control starved vs long term dauer starved,1,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Up control starved vs long term dauer starved,1,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,DAF/Insulin/food,Up long term dauer fed vs long term dauer starved,123,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Up long term dauer fed vs long term dauer starved,123,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,DAF/Insulin/food,Up short term dauer fed vs short term dauer starved,131,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,Development/Dauer/Aging,Up short term dauer fed vs short term dauer starved,131,https://pubmed.ncbi.nlm.nih.gov/30049782/,File _S1,FDR<0.05; foldchange >=2,JN,GSE113500,,
WS210,DAF/Insulin/food,Down during L1 arrest in the progeny of DR parents,68,https://pubmed.ncbi.nlm.nih.gov/31280992/,Table S1,FDR<0.05; foldchange <= 0,authors,GSE114271,,
WS210,Development/Dauer/Aging,Down during L1 arrest in the progeny of DR parents,68,https://pubmed.ncbi.nlm.nih.gov/31280992/,Table S1,FDR<0.05; foldchange <= 0,authors,GSE114271,,
WS210,DAF/Insulin/food,Up during L1 arrest in the progeny of DR parents,46,https://pubmed.ncbi.nlm.nih.gov/31280992/,Table S1,FDR<0.05; foldchange >= 0,authors,GSE114271,,
WS210,Development/Dauer/Aging,Up during L1 arrest in the progeny of DR parents,46,https://pubmed.ncbi.nlm.nih.gov/31280992/,Table S1,FDR<0.05; foldchange >= 0,authors,GSE114271,,
WS220,DAF/Insulin/food,Down Ivermectin + Food at 1 hour vs. Ivermectin + Food at 24 hours,198,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Down Ivermectin at 1 hour vs. Ivermectin + Food at 1 hour ,27,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Down Ivermectin at 1 hour vs. Ivermectin at 24 hours,83,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Down Ivermectin at 24 hours vs. Ivermectin + Food at 24 hours,6,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Down Ivermectin Food at 1hr vs. No Ivermectin Food at 1hr,2462,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Down Ivermectin No Food at 1hr vs. No Ivermectin No Food at 1hr,2261,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Down No Ivermectin No Food at 1hr vs. No Ivermectin Food at 1hr,402,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange <= -2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up Ivermectin + Food at 1 hour vs. Ivermectin + Food at 24 hours,77,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up Ivermectin at 1 hour vs. Ivermectin + Food at 1 hour ,168,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up Ivermectin at 1 hour vs. Ivermectin at 24 hours,36,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up Ivermectin at 24 hours vs. Ivermectin + Food at 24 hours,60,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up Ivermectin Food at 1hr vs. No Ivermectin Food at 1hr,457,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up Ivermectin No Food at 1hr vs. No Ivermectin No Food at 1hr,291,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
WS220,DAF/Insulin/food,Up No Ivermectin No Food at 1hr vs. No Ivermectin Food at 1hr,296,https://pubmed.ncbi.nlm.nih.gov/30296941/,Dataset S1,FDR<0.05; foldchange >=2,JN,GSE114955,,
n.a.,Epigenetics,Up in isolated germ nuclei ,5075,https://pubmed.ncbi.nlm.nih.gov/31208332/,Additional file 10,padj<0.01; foldchange > 0,authors,GSE117061,,
n.a.,Tissue,Up in isolated germ nuclei ,5075,https://pubmed.ncbi.nlm.nih.gov/31208332/,Additional file 10,padj<0.01; foldchange > 0,authors,GSE117061,,
n.a.,Epigenetics,Up in somatic tissues,3965,https://pubmed.ncbi.nlm.nih.gov/31208332/,Additional file 10,padj<0.01; foldchange < 0,authors,GSE117061,,
n.a.,Tissue,Up in somatic tissues,3965,https://pubmed.ncbi.nlm.nih.gov/31208332/,Additional file 10,padj<0.01; foldchange < 0,authors,GSE117061,,
WS283,Mutants,Down in skn-1(mac53gf) ,2,https://pubmed.ncbi.nlm.nih.gov/30166349/,Result S2,p<0.05; foldchange <= 0,authors,GSE117222,,
WS283,Mutants,Down in wdr-23(mac35lf) ,2,https://pubmed.ncbi.nlm.nih.gov/30166349/,Result S2,p<0.05; foldchange <= 0,authors,GSE117222,,
WS283,Mutants,Up in skn-1(mac53gf) ,9,https://pubmed.ncbi.nlm.nih.gov/30166349/,Result S2,p<0.05; foldchange >= 0,authors,GSE117222,,
WS283,Mutants,Up in wdr-23(mac35lf) ,10,https://pubmed.ncbi.nlm.nih.gov/30166349/,Result S2,p<0.05; foldchange >= 0,authors,GSE117222,,
WS220,Chemicals/stress,Down in F1 after antimycin exposure in P0 in damt-1 mutants,15,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange <= -2,authors,GSE118175,,
WS220,Epigenetics,Down in F1 after antimycin exposure in P0 in damt-1 mutants,15,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange <= -2,authors,GSE118175,,
WS220,Chemicals/stress,Down in F2 after antimycin exposure in P0 in damt-1 mutants,13,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange <= -2,authors,GSE118175,,
WS220,Epigenetics,Down in F2 after antimycin exposure in P0 in damt-1 mutants,13,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange <= -2,authors,GSE118175,,
WS220,Chemicals/stress,Down in P0 after antimycin exposure in damt-1 mutants,8,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange <= -2,authors,GSE118175,,
WS220,Epigenetics,Down in P0 after antimycin exposure in damt-1 mutants,8,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange <= -2,authors,GSE118175,,
WS220,Chemicals/stress,Up in F1 after antimycin exposure in P0,360,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Epigenetics,Up in F1 after antimycin exposure in P0,359,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Chemicals/stress,Up in F1 after antimycin exposure in P0 in damt-1 mutants,11,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Epigenetics,Up in F1 after antimycin exposure in P0 in damt-1 mutants,11,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Chemicals/stress,Up in F2 after antimycin exposure in P0,364,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Epigenetics,Up in F2 after antimycin exposure in P0,363,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Chemicals/stress,Up in F2 after antimycin exposure in P0 in damt-1 mutants,9,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Epigenetics,Up in F2 after antimycin exposure in P0 in damt-1 mutants,9,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Chemicals/stress,Up in P0 after antimycin exposure,175,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Epigenetics,Up in P0 after antimycin exposure,175,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Chemicals/stress,Up in P0 after antimycin exposure in damt-1 mutants,11,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
WS220,Epigenetics,Up in P0 after antimycin exposure in damt-1 mutants,11,https://pubmed.ncbi.nlm.nih.gov/30510156/,Supplementary Table 4,p unknown; foldchange >= 2,authors,GSE118175,,
,Chemicals/stress,Down exposed to Elbe sediment,275,http://www.ncbi.nlm.nih.gov/pubmed/19366437,Additional file 1,,,GSE11837,,
,Chemicals/stress,Down exposed to Rhine sediment,397,http://www.ncbi.nlm.nih.gov/pubmed/19366437,Additional file 2,,,GSE11837,,
,Chemicals/stress,UP exposed to Elbe sediment,454,http://www.ncbi.nlm.nih.gov/pubmed/19366437,Additional file 1,,,GSE11837,,
,Chemicals/stress,UP exposed to Rhine sediment,274,http://www.ncbi.nlm.nih.gov/pubmed/19366437,Additional file 2,,,GSE11837,,
WS235,Chemicals/stress,Down by proteasome inhibitor bortezomib (BTZ) ,111,https://pubmed.ncbi.nlm.nih.gov/30640956/,S4 Table,padj < 0.05; foldchange >= -2,JN,GSE118400,,
WS235,Mutants,Down in pals-22,37,https://pubmed.ncbi.nlm.nih.gov/30640956/,S4 Table,padj < 0.05; foldchange >= -2,JN,GSE118400,,
WS235,Mutants,Down in pals-22;pals-25,5,https://pubmed.ncbi.nlm.nih.gov/30640956/,S4 Table,padj < 0.05; foldchange >= -2,JN,GSE118400,,
WS235,Chemicals/stress,Up by proteasome inhibitor bortezomib (BTZ) ,317,https://pubmed.ncbi.nlm.nih.gov/30640956/,S4 Table,padj < 0.05; foldchange >=2,JN,GSE118400,,
WS235,Mutants,Up in pals-22,556,https://pubmed.ncbi.nlm.nih.gov/30640956/,S4 Table,padj < 0.05; foldchange >=2,JN,GSE118400,,
WS235,Mutants,Up in pals-22;pals-25,117,https://pubmed.ncbi.nlm.nih.gov/30640956/,S4 Table,padj < 0.05; foldchange >=2,JN,GSE118400,,
WS258 ,Mutants,Down in N2 raised on P. Aeruginosa,287,https://pubmed.ncbi.nlm.nih.gov/30789901/,S1 Table,padj<0.05; foldchange >= -2,JN,GSE119292,,
WS258 ,Microbes,Down in N2 raised on P. Aeruginosa,287,https://pubmed.ncbi.nlm.nih.gov/30789901/,S1 Table,padj<0.05; foldchange >= -2,JN,GSE119292,,
WS258 ,Mutants,Down in atf-7 raised on P. Aeruginosa,146,https://pubmed.ncbi.nlm.nih.gov/30789901/,S1 Table,padj<0.05; foldchange >= -2,JN,GSE119292,,
WS258 ,Microbes,Down in atf-7 raised on P. Aeruginosa,146,https://pubmed.ncbi.nlm.nih.gov/30789901/,S1 Table,padj<0.05; foldchange >= -2,JN,GSE119292,,
WS258 ,Mutants,Down in pmk-1 raised on P. Aeruginosa,142,https://pubmed.ncbi.nlm.nih.gov/30789901/,S1 Table,padj<0.05; foldchange >= -2,JN,GSE119292,,
