Categories,Gene Set name,Refs,Rawdata,Additional categories,
TF Targets,HLH-2 and HLH-3 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-2 and HLH-4 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-2 and HLH-8 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-2 and HLH-9 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-25 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-26 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-27 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-29 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,HLH-30 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,LIN-32 targets genes,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,MDL-1 and MXL-1 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,MXL-3 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
TF Targets,REF-1 targets,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
Mutants,UP hlh-30 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19632181,GSE15762,NA,
Other,Increased siRNA reads by mut-16(mg461) mutant,http://www.ncbi.nlm.nih.gov/pubmed/21245313,GSE15778,NA,
Microbes,Down Bacillus megaterium,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Microbes,Down Micrococcus luteus vs. OP50,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Microbes,Down Pseudomonas sp. vs. OP50,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Microbes,Down soil bacteria vs. OP50,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Microbes,UP Bacillus megaterium,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Microbes,UP Micrococcus luteus vs. OP50,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Microbes,UP to soil bacteria vs OP50,http://www.ncbi.nlm.nih.gov/pubmed/19503598,GSE15923,NA,
Mutants,Down ahr-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20045492,GSE16036,NA,
Mutants,UP ahr-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20045492,GSE16036,NA,
Mutants,Down miR-124 mutant GFP-,http://www.ncbi.nlm.nih.gov/pubmed/20176573,GSE16050,NA,
Mutants,Down miR-124 mutant GFP+,http://www.ncbi.nlm.nih.gov/pubmed/20176573,GSE16050,NA,
TF Targets,miR-124 targets,http://www.ncbi.nlm.nih.gov/pubmed/20176573,GSE16050,NA,
Mutants,UP miR-124 mutant GFP-,http://www.ncbi.nlm.nih.gov/pubmed/20176573,GSE16050,NA,
Mutants,UP miR-124 mutant GFP+,http://www.ncbi.nlm.nih.gov/pubmed/20176573,GSE16050,NA,
TF Targets,UP by glp-1 mutant (Boyd),http://www.ncbi.nlm.nih.gov/pubmed/19879883,GSE16208,NA,
Mutants,Down nth-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20382984,GSE16405,NA,
Mutants,Down nth-1;xbp-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20382984,GSE16405,NA,
Mutants,Down xpa-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20382984,GSE16405,NA,
Mutants,UP nth-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20382984,GSE16405,NA,
Mutants,UP nth-1;xbp-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20382984,GSE16405,NA,
Mutants,UP xpa-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20382984,GSE16405,NA,
Chemicals/stress,Down by 0.5mgl CPF,http://www.ncbi.nlm.nih.gov/pubmed/20808445,GSE16719,NA,
Chemicals/stress,Down by 0.5mgl CPF and 1mgl DZN,http://www.ncbi.nlm.nih.gov/pubmed/20808445,GSE16719,NA,
Chemicals/stress,Down by 1 mgl DZN,http://www.ncbi.nlm.nih.gov/pubmed/20808445,GSE16719,NA,
Chemicals/stress,UP treated by 0.5mgl CPF,http://www.ncbi.nlm.nih.gov/pubmed/20808445,GSE16719,NA,
Chemicals/stress,UP treated by 0.5mgl CPF+ 1 mgl DZN,http://www.ncbi.nlm.nih.gov/pubmed/20808445,GSE16719,NA,
Chemicals/stress,UP treated by 1 mgl DZN,http://www.ncbi.nlm.nih.gov/pubmed/20808445,GSE16719,NA,
Mutants,Down fer-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19755517,GSE16753,NA,
Mutants,UP fer-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19755517,GSE16753,NA,
Chemicals/stress,UP by Hydrogen sulfide (H2S),http://www.ncbi.nlm.nih.gov/pubmed/24093496,GSE16975,NA,
Chemicals/stress,UP by nhr-8(hd117) mutant,http://www.ncbi.nlm.nih.gov/pubmed/23931753,GSE16975,NA,
DAF/Insulin/food,down by daf-16 mutant (McElwee),http://www.ncbi.nlm.nih.gov/pubmed/15308663,GSE1762,NA,
DAF/Insulin/food,UP by daf-16 mutant (McElwee),http://www.ncbi.nlm.nih.gov/pubmed/15308663,GSE1762,NA,
Other,O-GlcNAc peaks,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18130,NA,
Other,O-GlcNAc peaks affy tags,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18130,NA,
Mutants,Deregulated L1 oga-1(ok1207),http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Deregulated L1 ogt-1(ok430),http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Deregulated L4 oga-1(ok1207),http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Deregulated L4 ogt-1(ok430),http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Down ogt-1(ok1207) mutant,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Down ogt-1(ok430) mutant,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Down ogt-1(tm1046) mutant,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,UP ogt-1(ok1207) mutant,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,UP ogt-1(ok430) mutant,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,UP ogt-1(tm1046) mutant,http://www.ncbi.nlm.nih.gov/pubmed/20368426,GSE18132,NA,
Mutants,Down biotin deficiency,http://www.ncbi.nlm.nih.gov/pubmed/20798549,GSE18157,NA,
Mutants,UP biotin deficiency,http://www.ncbi.nlm.nih.gov/pubmed/20798549,GSE18157,NA,
Mutants,Depleted in small RNA libraries from csr-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19804758,GSE18167,NA,
Mutants,Depleted in small RNA libraries from ego-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19804758,GSE18167,NA,
Other,Enriched for antisense 22G-RNAs in the CSR-1 IP,http://www.ncbi.nlm.nih.gov/pubmed/19804758,GSE18167,NA,
Mutants,depleted of 22G-RNAs in ergo-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20133583,GSE18200,NA,
Mutants,Down cde-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19804759,GSE18202,NA,
Mutants,UP cde-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/19804759,GSE18202,NA,
Other,Depleted for antisense 22G-RNAs,http://www.ncbi.nlm.nih.gov/pubmed/19800275,GSE18230,NA,
Other,Enriched for antisense 22G-RNAs,http://www.ncbi.nlm.nih.gov/pubmed/19800275,GSE18230,NA,
Other,Enriched of Antisense 22G-RNAs in the fem-1 Oocyte Library,http://www.ncbi.nlm.nih.gov/pubmed/19800275,GSE18230,NA,
TF Targets,"Targeted by mut-7, rde-3 and MAGO12",http://www.ncbi.nlm.nih.gov/pubmed/19800275,GSE18230,NA,
TF Targets,Top 98 WAGO-1 IP Targets,http://www.ncbi.nlm.nih.gov/pubmed/19800275,GSE18230,NA,
DAF/Insulin/food,Down daf-16(-) and /or hsf-1 (-1) qPCR,http://www.ncbi.nlm.nih.gov/pubmed/19883616,GSE18563,NA,
DAF/Insulin/food,Down daf-2(-) vs. daf-16(-);daf-2(-),http://www.ncbi.nlm.nih.gov/pubmed/19883616,GSE18563,NA,
DAF/Insulin/food,UP daf-16(-) and /or hsf-1(-) mutants and validated by qPCR,http://www.ncbi.nlm.nih.gov/pubmed/19883616,GSE18563,NA,
DAF/Insulin/food,UP daf-2(-) vs. daf-16(-);daf-2(-),http://www.ncbi.nlm.nih.gov/pubmed/19883616,GSE18563,NA,
DAF/Insulin/food,UP daf-2 (e1370) vs. m596 or e1368,http://www.ncbi.nlm.nih.gov/pubmed/19936206,GSE18601,NA,
TF Targets,depleted of 22G-RNAs in rrf-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20133583,GSE18714,NA,
TF Targets,depleted of 22G-RNAs in rrf-3 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20133583,GSE18714,NA,
TF Targets,enriched by ergo-1 IP,http://www.ncbi.nlm.nih.gov/pubmed/20133583,GSE18714,NA,
TF Targets,UP by mdt-15 RNAi,http://www.ncbi.nlm.nih.gov/pubmed/20929438,GSE18714,NA,
Mutants,"Down alg-3, alg-4 double mutant dependent 26G-RNA targets",http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
Other,Down of 22G-RNAs for loci targeted by alg-3; alg-4 dependent 26G-RNAs,http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
Mutants,Targets 26G-RNAs in alg-3; alg-4 double mutant,http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
TF Targets,Targets 26G-RNAs in wild type,http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
Mutants,Two fold or less 26G-RNAs in the alg-3; alg-4 double mutant,http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
Mutants,"UTR3 enriched and down in alg-3, alg-4 double mutant dependent 26G-RNA targets",http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
Mutants,"UTR5 enriched and down in alg-3, alg-4 double mutant dependent 26G-RNA targets",http://www.ncbi.nlm.nih.gov/pubmed/20133686,GSE18719,NA,
Mutants,alg-1 candidates,http://www.ncbi.nlm.nih.gov/pubmed/20062054,GSE19138,NA,
Mutants,Down alg-1 mutant (gk214),http://www.ncbi.nlm.nih.gov/pubmed/20062054,GSE19138,NA,
Mutants,UP alg-1 mutant (gk214),http://www.ncbi.nlm.nih.gov/pubmed/20062054,GSE19138,NA,
Chemicals/stress,Changed exposure to 200 nM NaCl,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,Down dpy-10 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,Down dpy-9 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,Down osm-11 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,Down osm-7 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,Down osm-8 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,UP dpy-10 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,UP dpy-9 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,UP osm-11 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,UP osm-7 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Chemicals/stress,UP osm-8 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20126308,GSE19310,NA,
Other,UP by age-1(mg44) mutant,http://www.ncbi.nlm.nih.gov/pubmed/21408062,GSE19440,NA,
TF Targets,UP by gld-4 RNAi (Nousch),http://www.ncbi.nlm.nih.gov/pubmed/25217583,GSE19922,NA,
Mutants,Down transgenic aex-3::his-SUMO-1,http://www.ncbi.nlm.nih.gov/pubmed/21253676,GSE19972,NA,
Mutants,Down transgenic myo-4::his-SUMO-1,http://www.ncbi.nlm.nih.gov/pubmed/21253676,GSE19972,NA,
Mutants,Up transgenic aex-3::his-SUMO-1,http://www.ncbi.nlm.nih.gov/pubmed/21253676,GSE19972,NA,
Mutants,Up transgenic myo-4::his-SUMO-1,http://www.ncbi.nlm.nih.gov/pubmed/21253676,GSE19972,NA,
Microbes,Changed Y. pestis vs. E. coli,http://www.ncbi.nlm.nih.gov/pubmed/20133945,GSE20053,NA,
Microbes,Down Y. pestis vs. E. coli,http://www.ncbi.nlm.nih.gov/pubmed/20133945,GSE20053,NA,
Microbes,UP Y. pestis vs. E. coli,http://www.ncbi.nlm.nih.gov/pubmed/20133945,GSE20053,NA,
Mutants,Down xbp-1 mutant on daf-2(e1368),http://www.ncbi.nlm.nih.gov/pubmed/20460307,GSE20148,NA,
Mutants,Down xbp-1 mutant on daf-2(e1370),http://www.ncbi.nlm.nih.gov/pubmed/20460307,GSE20148,NA,
DAF/Insulin/food,UP xbp-1 mutant on daf-2(e1368),http://www.ncbi.nlm.nih.gov/pubmed/20460307,GSE20148,NA,
DAF/Insulin/food,UP xbp-1 mutant on daf-2(e1370),http://www.ncbi.nlm.nih.gov/pubmed/20460307,GSE20148,NA,
Mutants,Down miR-243 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20386745,GSE20558,NA,
Mutants,UP miR-243 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20386745,GSE20558,NA,
Chemicals/stress,Down by Atrazine-150mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by Atrazine-25mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by Atrazine-75mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by cadmium 10mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by cadmium 20mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by cadmium 40mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by cadmium 60mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by Fluoranthene-1000mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by Fluoranthene-100mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by Fluoranthene-250mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,Down by Fluoranthene-500mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Atrazine-150mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Atrazine-25mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Atrazine-5mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Atrazine-75mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by cadmium 10mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by cadmium 20mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by cadmium 40mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by cadmium 60mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Fluoranthene-1000mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Fluoranthene-100mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Fluoranthene-250mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Chemicals/stress,UP by Fluoranthene-500mg,http://www.ncbi.nlm.nih.gov/pubmed/20331876,GSE21012,NA,
Tissue,1.5X enriched PVD OLL cell-specific,http://www.ncbi.nlm.nih.gov/pubmed/20537990,GSE21162,NA,
Tissue,Depleted in the PVD OLL,http://www.ncbi.nlm.nih.gov/pubmed/20537990,GSE21162,NA,
Mutants,Down let-418 RNAi,http://www.ncbi.nlm.nih.gov/pubmed/21060680,GSE21376,NA,
Mutants,Down mep-1 RNAi,http://www.ncbi.nlm.nih.gov/pubmed/21060680,GSE21376,NA,
Mutants,UP let-418 RNAi,http://www.ncbi.nlm.nih.gov/pubmed/21060680,GSE21376,NA,
Mutants,UP mep-1 RNAi,http://www.ncbi.nlm.nih.gov/pubmed/21060680,GSE21376,NA,
Mutants,Down ung-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20493785,GSE21467,NA,
Mutants,UP ung-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/20493785,GSE21467,NA,
Chemicals/stress,Down liquid vs plate,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21526,GSE21526,NA,
Chemicals/stress,UP liquid vs plate,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21526,GSE21526,NA,
Mutants,UP glp-1(oz112) mutants,http://www.ncbi.nlm.nih.gov/pubmed/20599896,GSE21531,NA,
TF Targets,fbf-1 associated,http://www.ncbi.nlm.nih.gov/pubmed/20142496,GSE21591,NA,
Chemicals/stress,Putative gld-2/rnp-8 targets,http://www.ncbi.nlm.nih.gov/pubmed/20855596,GSE21747,NA,
TF Targets,PMK-1 targets down in Day 15 vs. Day 6,http://www.ncbi.nlm.nih.gov/pubmed/21625567,GSE21784,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 0min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 101min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 122min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 143min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 186min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 23min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 41min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 53min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 66min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down mex-3;skn-1 RNAi mutant 83min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 0 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 101 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 122 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 143 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 186 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 23 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 41 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 53 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 66 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1 mutant 83 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 0 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 101 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 122 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 143 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 186 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 23 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 41 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 53 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 66 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,Down pie-1; pal-1(RNAi) mutant 83 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 0min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 101min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 122min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 143min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 186min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 23min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 41min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 53min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 66min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP mex-3;skn-1 RNAi mutant 83min,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 0 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 101 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 122 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 143 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 186 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 23 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 41 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 53 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 66 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1 mutant 83 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 0 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 101 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 122 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 143 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 186 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 23 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 41 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 53 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 66 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Mutants,UP pie-1; pal-1(RNAi) mutant 83 min after 4 cell stage,http://www.ncbi.nlm.nih.gov/pubmed/15772128,GSE2180,NA,
Microbes,Changed infected to S. aureus and exposure to B. thuringiensis PFT,http://www.ncbi.nlm.nih.gov/pubmed/20617181,GSE21819,NA,
Microbes,Down infected by S. Aureus 8H,http://www.ncbi.nlm.nih.gov/pubmed/20617181,GSE21819,NA,
Microbes,Responding to M. nematophilum AND P. aeruginosa NOT S. Aureus,http://www.ncbi.nlm.nih.gov/pubmed/20617181,GSE21819,NA,
Microbes,Responding to S. aureus AND M. nematophilum NOT P. Aeruginosa,http://www.ncbi.nlm.nih.gov/pubmed/20617181,GSE21819,NA,
Microbes,Responding to S. aureus AND P. aeruginosa AND M. Nematophilum,http://www.ncbi.nlm.nih.gov/pubmed/20617181,GSE21819,NA,
